title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness shampoo for daily hair-washing.,https://www.labiosthetique.ca/en/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"40,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"No Yellow Conditioner .07 Crystal conditions and fortifies cool naturally blonde, colored and bleached hair. The hair is not only moisturized, it is left refreshed with a radiant crystal shimmer.",https://www.labiosthetique.ca/en/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"46,00 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Shower gel, shampoo and beard shampoo in one. This delightfully scented all in one product gently and reliably cleanses whilst conditioning skin and hair.",https://www.labiosthetique.ca/en/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"25,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"hair care,skin & body care","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Shampooing Lipokérine A,120295,The innovating Shampoo Lipokerine A gently cleanses oily scalps.,https://www.labiosthetique.ca/en/shampooing-lipokerine-a,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg,"44,00 EUR",new,in stock,4040218120295,La Biosthétique,250 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Shampooing Hydrotoxa,180255,"Shampooing Hydrotoxa is a shampoo for damp, limp hair. It gently cleanses and fortifies moist scalps, reduces the appearance of excess moisture and maintains the hair’s natural beauty and volume.",https://www.labiosthetique.ca/en/shampooing-hydrotoxa-180255,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg,"44,00 EUR",new,in stock,4040218704495,La Biosthétique,250 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"In two phases, the deep-conditioning hair care repairs and regenerates the internal and external structure of chemically stressed hair, strengthens the hair, prevents hair breakage and protects the hair against negative environmental influences and premature colour loss.",https://www.labiosthetique.ca/en/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"84,00 EUR",new,in stock,4040218849295,La Biosthétique,1 set,hair care,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"This mild Strengthening Shampoo gently cleanses the hair, revitalises fine and thin hair, strengthens and seals the hair fibres and creates noticeably more thickness and volume.",https://www.labiosthetique.ca/en/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"45,00 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Styling Brush,048796,"This hairbrush styles the hair and gives it more volume: Wooden brush with wild boar and nylon bristles for more shine, fast drying and more body",https://www.labiosthetique.ca/en/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"79,00 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"hair care,styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,Protective conditioning hair fluid for long hair.,https://www.labiosthetique.ca/en/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"47,00 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
La Biosthétique Long Hair Refreshing Dry Shampoo,120701,A refreshing dry shampoo. Perfect for when you’re in a rush or your style just needs more volume and texture.,https://www.labiosthetique.ca/en/long-hair-refreshing-dry-shampoo-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_refreshing_dry_shampoo_147647_75ml_ff0a66c.jpg/long_hair_refreshing_dry_shampoo_147647_75ml_ff0a66c.jpg,"25,00 EUR",new,in stock,4040218843989,La Biosthétique,75 ml,hair care,Health & Beauty > Personal Care > Hair Care,,75 ml,FALSE
La Biosthétique Shampooing Lipokérine B,180010,Lipokérine B shampoo provides extremely mild and gentle cleansing of dry scalps. Brittle hair celebrates more shine and softness.,https://www.labiosthetique.ca/en/shampooing-lipokerine-b-180010,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_b_133861_250ml_b5cb0b3.jpg/shampooing_lipok_rine_b_133861_250ml_b5cb0b3.jpg,"44,00 EUR",new,in stock,4040218704488,La Biosthétique,250 ml,hair care,Health & Beauty > Personal Care > Hair Care,,250 ml,FALSE
