title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"23,00 EUR",new,in stock,4040218791099,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"23,00 EUR",new,in stock,4040218829099,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sun Care Body Lotion SPF 50,002396,"Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Haut vor sonnenbedingter Schädigung.",https://www.labiosthetique.at/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"54,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Haut- & Körperpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness-Shampoo für die tägliche Haarwäsche,https://www.labiosthetique.at/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"24,50 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Der pflegende, restrukturierende Farbconditioner mit Farbschutz und UV-Glanz-Komplex neutralisiert den Gelbstich und frischt den eisig kühlen Kristallreflex in blondiertem, coloriertem und naturblondem Haar auf.",https://www.labiosthetique.at/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"29,50 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood,019055,"Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.",https://www.labiosthetique.at/automatic-pencil-for-lips?childSku=4040218888799,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg,"24,50 EUR",new,in stock,4040218888799,La Biosthétique,"0,35 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,35 g",FALSE
La Biosthétique Brilliant Nail Top Coat,020607,"Glänzendes, schützendes und langanhaltendes Finish in einem: Brilliant Nail Top Coat wird als Überlack aufgetragen und verlängert die Haltbarkeit von Farblacken",https://www.labiosthetique.at/brilliant-nail-top-coat,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg,"18,50 EUR",new,in stock,4040218789898,La Biosthétique,9 ml,Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,9 ml,FALSE
La Biosthétique Pencil for Eyes Violet Silk,017524,Der herrlich sanfte Kajal lässt sich durch seine einzigartig geschmeidige Textur hochpräzise auftragen und verleiht den Augen eine natürlich wache Ausstrahlungskraft.,https://www.labiosthetique.at/pencil-for-eyes?childSku=4040218875898,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg,"21,50 EUR",new,in stock,4040218875898,La Biosthétique,"1,06 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 g,"1,06 g",FALSE
La Biosthétique Harmonising Wellness Tea Beutel,002142,Der harmonisierende Wellness Tee bringt den Körper von innen in wohltuende Balance. Seine Zutaten aus kontrolliert biologischem Anbau sind von der beliebten Duftkomposition der Spa Körperpflege inspiriert.,https://www.labiosthetique.at/harmonising-wellness-tea?childSku=4040218879698,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg,"11,00 EUR",new,in stock,4040218879698,La Biosthétique,30 g,Haut- & Körperpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,30 g,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.",https://www.labiosthetique.at/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"10,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Haarpflege,Haut- & Körperpflege","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
