title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Sun Care Body Lotion SPF 50,002396,"Dzięki kombinacji skutecznych, wysoko skoncentrowanych filtrów UV oraz aktywnych naturalnych składników, ta wodoodporna, bezzapachowa emulsja chroni skórę przed uszkodzeniami spowodowanymi promieniowaniem słonecznym.",https://www.labiosthetique.pl/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"232,00 PLN",new,in stock,4040218846799,La Biosthétique,200 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Harmonising Wellness Tea Beutel,002142,Harmonizująca herbata wellness przywraca ciału wewnętrzną równowagę i harmonię. Jej składniki pochodzą z kontrolowanego rolnictwa ekologicznego i są inspirowane ulubioną kompozycją zapachową z linii pielęgnacji ciała Spa.,https://www.labiosthetique.pl/harmonising-wellness-tea?childSku=4040218879698,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg,"12,50 PLN",new,in stock,4040218879698,La Biosthétique,30 g,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,30 g,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"Orzeźwiający żel pod prysznic do ciała, włosów i brody. Naturalne składniki aktywne chronią przed wysuszaniem skóry. Koktajl mineralny rewitalizuje każdą komórkę tlenem. Specjalnie opracowany kompleks Hydro-Protect utrzymuje wilgotność skóry i chroni włosy.",https://www.labiosthetique.pl/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"56,00 PLN",new,in stock,4040218802597,La Biosthétique,75 ml,"Pielęgnacja włosów i głowy,pielęgnacja skóry","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Clarifying Spot Gel,002739,<p>Żel punktowy przeznaczony jest do miejscowego i skutecznego leczenia obszarów skóry z niedoskonałościami – takimi jak wypryski i zaskórniki. Dla wszystkich miłośników Likopan Gel – to będzie Twój nowy ulubiony produkt.</p>,https://www.labiosthetique.pl/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"102,00 PLN",new,in stock,4040218882797,La Biosthétique,15 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique La Capsule,002195,"Serum La Capsule regeneruje i ujędrnia skórę, dostarczając aktywnych składników, które przywracają piękną i zadbaną skórę twarzy. Pielęgnacja skóry na najwyższym poziomie.",https://www.labiosthetique.pl/la-capsule?childSku=4040218002195,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/a/la_capsule_248015_63Kapseln_5cac777.jpg/la_capsule_248015_63Kapseln_5cac777.jpg,"355,00 PLN",new,in stock,4040218002195,La Biosthétique,63 capsules,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,,63 capsules,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,<p>Łatwo wchłaniający się krem przeciwsłoneczny z SPF 50+ zapewnia wrażliwej skórze twarzy i ciała kompleksową ochronę przed poparzeniami słonecznymi oraz głębszymi uszkodzeniami spowodowanymi promieniowaniem UV.</p>,https://www.labiosthetique.pl/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"120,00 PLN",new,in stock,4040218848595,La Biosthétique,8 g,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,"To orzeźwiające Hydro Spray natychmiast koi i odpręża skórę po opalaniu, zapewniając jej intensywne nawodnienie.",https://www.labiosthetique.pl/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"115,00 PLN",new,in stock,4040218863895,La Biosthétique,100 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,Hydrożelowe płatki pod oczy z kompleksem AGE3 i natychmiastowym efektem liftingu.,https://www.labiosthetique.pl/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"300,00 PLN",new,in stock,4040218846393,La Biosthétique,20 pcs,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Relaxing Body Lotion,002192,Relaksująca balsam do ciała,https://www.labiosthetique.pl/spa-relaxing-body-lotion?childSku=4040218855890,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg,"138,00 PLN",new,in stock,4040218855890,La Biosthétique,250 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Spa Skin Perfecting Lifting Cream,003714,Pielęgnacja redukująca zmarszczki na szyi i dekolcie.,https://www.labiosthetique.pl/spa-skin-perfecting-lifting-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg,"150,00 PLN",new,in stock,4040218856286,La Biosthétique,75 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,75 ml,FALSE
La Biosthétique Dermosthétique Hydrating Cleansing Foam,002485,Nawilżająca pianka oczyszczająca z kwasem hialuronowym,https://www.labiosthetique.pl/dermosthetique-hydrating-cleansing-foam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg,"150,00 PLN",new,in stock,4040218867985,La Biosthétique,150 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,150 ml,FALSE
La Biosthétique Set Sun Care & After Sun,012985,Ekskluzywny zestaw składający się z naszej Sun Care Body Lotion SPF 30 oraz After Sun Hair &amp; Body Shampoo. Idealny rozmiar podróżny na wakacje w korzystnej cenie.,https://www.labiosthetique.pl/soleil-set-2024,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/set_sun_care_after_sun_384706_1St_ck_67e43f8.jpg/set_sun_care_after_sun_384706_1St_ck_67e43f8.jpg,"149,00 PLN",new,in stock,4040218873085,La Biosthétique,1 pcs,"Pielęgnacja włosów i głowy,pielęgnacja skóry","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",,1 pcs,FALSE
La Biosthétique Dermosthétique Hyaluronic Acid Hydrating Capsules,003505,Błyskawicznie nawilża suchą i odwodnioną skórę,https://www.labiosthetique.pl/dermosthetique-hyaluronic-acid-hydrating-capsules?childSku=4040218846584,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_hyaluronic_acid_hydrating_capsules_266961_7Kapseln_159c1c0.jpg/dermosth_tique_hyaluronic_acid_hydrating_capsules_266961_7Kapseln_159c1c0.jpg,"84,00 PLN",new,in stock,4040218846584,La Biosthétique,7 capsules,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,,7 capsules,FALSE
La Biosthétique Spa Refreshing Body Peeling,002062,Orzeźwiający peeling do ciała,https://www.labiosthetique.pl/spa-refreshing-body-peeling?childSku=4040218856484,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_refreshing_body_peeling_329641_250ml_3d76ddb.jpg/spa_refreshing_body_peeling_329641_250ml_3d76ddb.jpg,"125,00 PLN",new,in stock,4040218856484,La Biosthétique,250 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Revitalising Balance Cream,004322,"<p>Starannie dobrane mechanizmy działania spowalniają procesy starzenia się skóry, wzmacniają ją od wewnątrz i widocznie przywracają jej naturalną równowagę. Dla wszystkich miłośników Ménulphia Jeunesse – to będzie Twój nowy ulubieniec.</p>",https://www.labiosthetique.pl/revitalising-balance-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/r/e/revitalising_balance_cream_382741_50ml_936035e.jpg/revitalising_balance_cream_382741_50ml_936035e.jpg,"305,00 PLN",new,in stock,4040218867381,La Biosthétique,50 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Micellar Cleansing Gel,003781,"<p>Łagodny micelarny żel oczyszczający usuwa zanieczyszczenia i nadmiar sebum, jednocześnie redukując jego produkcję i nie wysuszając przy tym skóry. Dla wszystkich miłośników Clair de Teint Clarifiant – to będzie Twój nowy ulubiony produkt.</p>",https://www.labiosthetique.pl/micellar-cleansing-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/i/micellar_cleansing_gel_396291_250ml_5990094.jpg/micellar_cleansing_gel_396291_250ml_5990094.jpg,"112,00 PLN",new,in stock,4040218882681,La Biosthétique,250 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Eau de Toilette Homme,003719,"Mężczyzna, jego zapach, jego styl, jego charakter - reprezentuje Eau de Toilette Homme: męski zapach z wyczuwalną nutą korzenną, która podkreśla indywidualną osobowość świeżymi akcentami i ciepłymi, ziemistymi tonami.",https://www.labiosthetique.pl/eau-de-toilette-homme,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/a/eau_de_toilette_homme_393462_50ml_e1cb217.jpg/eau_de_toilette_homme_393462_50ml_e1cb217.jpg,"260,00 PLN",new,in stock,4040218810479,La Biosthétique,50 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Soothing After-Sun Body Lotion,002368,Uspokajająca pielęgnacja ciała po opalaniu,https://www.labiosthetique.pl/soothing-after-sun-body-lotion,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/o/soothing_after_sun_body_lotion_248077_200ml_1103c83.jpg/soothing_after_sun_body_lotion_248077_200ml_1103c83.jpg,"137,00 PLN",new,in stock,4040218837278,La Biosthétique,200 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Self Tanning Drops,002179,Kropelki samoopalające.,https://www.labiosthetique.pl/self-tanning-drops,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/self_tanning_drops_248073_30ml_388d592.jpg/self_tanning_drops_248073_30ml_388d592.jpg,"118,00 PLN",new,in stock,4040218836677,La Biosthétique,30 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,30 ml,FALSE
La Biosthétique After Sun Hair & Body Shampoo,120512,Szampon do włosów i ciała po ekspozycji na słońcu.,https://www.labiosthetique.pl/after-sun-hair-body-shampoo-2?childSku=4040218837476,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_hair_body_shampoo_247389_100ml_9edb6d7.jpg/after_sun_hair_body_shampoo_247389_100ml_9edb6d7.jpg,"52,00 PLN",new,in stock,4040218837476,La Biosthétique,100 ml,"Pielęgnacja włosów i głowy,pielęgnacja skóry","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,100 ml,FALSE
La Biosthétique Harmonising Wellness Tea,002012,Harmonizująca herbata wellness przywraca ciału wewnętrzną równowagę i harmonię. Jej składniki pochodzą z kontrolowanego rolnictwa ekologicznego i są inspirowane ulubioną kompozycją zapachową z linii pielęgnacji ciała Spa.,https://www.labiosthetique.pl/harmonising-wellness-tea?childSku=4040218879674,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_393253_100g_109a594.jpg/harmonising_wellness_tea_393253_100g_109a594.jpg,"66,00 PLN",new,in stock,4040218879674,La Biosthétique,100 g,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,100 g,FALSE
La Biosthétique Clarifying Balance Cream,002356,"<p>Normalizujący krem przywracający równowagę skóry odpowiada na potrzeby skóry mieszanej, regulując wydzielanie sebum, nawilżając, wspierając regenerację komórek w przypadku ich uszkodzenia oraz przywracając równowagę mikrobiomu skóry. Dla wszystkich miłośników Pureté Clarifiante – to będzie Twój nowy ulubiony produkt.</p>",https://www.labiosthetique.pl/clarifying-balance-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_balance_cream_396276_50ml_759ee9a.jpg/clarifying_balance_cream_396276_50ml_759ee9a.jpg,"184,00 PLN",new,in stock,4040218882773,La Biosthétique,50 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Dermosthétique Lifting Eye Cream,002961,Nawilżający krem pod oczy z napinającym skórę kompleksem AGE³,https://www.labiosthetique.pl/dermosthetique-age-lifting-eye-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_lifting_eye_cream_355961_15ml_98d4d57.jpg/dermosth_tique_lifting_eye_cream_355961_15ml_98d4d57.jpg,"263,00 PLN",new,in stock,4040218863871,La Biosthétique,15 ml,pielęgnacja skóry,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
