id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
017945;Perfect Boost;Make-up;Perfect Boost;;;;;;;;;;;https://www.labiosthetique.nl/fr/perfect-boost;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;;https://www.labiosthetique.nl/fr/perfect-boost;;;;;;;;;;;;;;;;Base de mascara pour des cils longs et nourris;;;;;;;;;;;;;;;;;;;
016399;Eyeshadow Pen Smoky Topaz;Make-up;Eyeshadow Pen Smoky Topaz;;;;;;;;;;;https://www.labiosthetique.nl/fr/eyeshadow-pen?childSku=4040218791099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;;https://www.labiosthetique.nl/fr/eyeshadow-pen?childSku=4040218791099;;;;;;;;;;;;;;;;Crayon à paupières pratique. Pour un maquillage des yeux parfait, résistant à l’eau et qui ne coule pas;;;;;;;;;;;;;;;;;;;
016082;Magic Shadow Duo Dusty Rose & Maroon;Make-up;Magic Shadow Duo Dusty Rose & Maroon;;;;;;;;;;;https://www.labiosthetique.nl/fr/magic-shadow-duo?childSku=4040218797299;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg;;https://www.labiosthetique.nl/fr/magic-shadow-duo?childSku=4040218797299;;;;;;;;;;;;;;;;Duo d'ombres à paupières avec une texture irrésistiblement soyeuse;;;;;;;;;;;;;;;;;;;
017615;Smart Liner Dark Brown;Make-up;Smart Liner Dark Brown;;;;;;;;;;;https://www.labiosthetique.nl/fr/smart-liner?childSku=4040218819199;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/m/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg;;https://www.labiosthetique.nl/fr/smart-liner?childSku=4040218819199;;;;;;;;;;;;;;;;Eye-liner liquide longue tenue pour des regards inoubliables;;;;;;;;;;;;;;;;;;;
016301;Eyeshadow Pen Cloudy Lilac;Make-up;Eyeshadow Pen Cloudy Lilac;;;;;;;;;;;https://www.labiosthetique.nl/fr/eyeshadow-pen?childSku=4040218829099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;;https://www.labiosthetique.nl/fr/eyeshadow-pen?childSku=4040218829099;;;;;;;;;;;;;;;;Crayon à paupières pratique. Pour un maquillage des yeux parfait, résistant à l’eau et qui ne coule pas;;;;;;;;;;;;;;;;;;;
002396;Sun Care Body Lotion SPF 50;Corps & Visage;Sun Care Body Lotion SPF 50;;;;;;;;;;;https://www.labiosthetique.nl/fr/sun-care-body-lotion-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;;https://www.labiosthetique.nl/fr/sun-care-body-lotion-spf-50;;;;;;;;;;;;;;;;Lotion de protection solaire SPF 50;;;;;;;;;;;;;;;;;;;
120725;Spa Wellness Hair Shampoo;Cheveux;Spa Wellness Hair Shampoo;;;;;;;;;;;https://www.labiosthetique.nl/fr/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;;https://www.labiosthetique.nl/fr/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;;;;;;;;;;;;Shampooing bien-être à usage quotidien;;;;;;;;;;;;;;;;;;;
017339;Automatic Pencil for Eyes K05 Black;Make-up;Automatic Pencil for Eyes K05 Black;;;;;;;;;;;https://www.labiosthetique.nl/fr/automatic-pencil-for-eyes?childSku=4040218765298;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;;https://www.labiosthetique.nl/fr/automatic-pencil-for-eyes?childSku=4040218765298;;;;;;;;;;;;;;;;Crayon à paupières résistant à l'eau pour des regards inoubliables avec une tenue extrême;;;;;;;;;;;;;;;;;;;
016555;Magic Shadow 04 Champagne;Make-up;Magic Shadow 04 Champagne;;;;;;;;;;;https://www.labiosthetique.nl/fr/magic-shadow?childSku=4040218769098;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg;;https://www.labiosthetique.nl/fr/magic-shadow?childSku=4040218769098;;;;;;;;;;;;;;;;Ombre à paupières magique en poudre avec une texture satinée, longue durée;;;;;;;;;;;;;;;;;;;
020607;Brilliant Nail Base & Top Coat;Make-up;Brilliant Nail Base & Top Coat;;;;;;;;;;;https://www.labiosthetique.nl/fr/brilliant-nail-top-coat;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;;https://www.labiosthetique.nl/fr/brilliant-nail-top-coat;;;;;;;;;;;;;;;;Vernis transparent et protecteur à appliquer sous, sur ou à la place d’un vernis de couleur;;;;;;;;;;;;;;;;;;;
