guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
017945;Perfect Boost;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/perfect-boost;109,00;Baza do tuszowania rzęs dodająca objętości bez sklejania. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;Y;Home | Default Category > Makijaż > Kolor > biały / kość słoniowa / szampan | Default Category > Makijaż > Produkty do makijażu > Maskara | Default Category > Makijaż > Kategoria > Oczy;2026-02-06T00:59:33.687Z;Kobieta;8 ml
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/eyeshadow-pen?childSku=4040218829099;101,00;Praktyczny cień do powiek w kredce: szybko i łatwo tworzy doskonały, przydymiony oraz wodoodporny makijaż oczu;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Makijaż > Kolor > fiolet | Default Category > Makijaż > Produkty do makijażu > Cienie do powiek | Default Category > Makijaż > Kategoria > Oczy | Default Category > Makijaż > Kolor > szary > srebro;2026-02-06T00:59:33.688Z;Kobieta;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/sun-care-body-lotion-spf-50;232,00;Dzięki kombinacji skutecznych, wysoko skoncentrowanych filtrów UV oraz aktywnych naturalnych składników, ta wodoodporna, bezzapachowa emulsja chroni skórę przed uszkodzeniami spowodowanymi promieniowaniem słonecznym.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > pielęgnacja skóry > Rodzaj > cera wymagająca | Default Category > pielęgnacja skóry > Rodzaj > cera wrażliwa | Default Category > pielęgnacja skóry > Rodzaj > cera odwodniona | Default Category > pielęgnacja skóry > Rodzaj > cera tłusta | Default Category > pielęgnacja skóry > Rodzaj > cera mieszana | Default Category > pielęgnacja skóry > Rodzaj > cera normalna | Default Category > pielęgnacja skóry > Rodzaj > cera sucha | Default Category > pielęgnacja skóry > Rodzaj > cera zanieczyszczona | Default Category > pielęgnacja skóry > Potrzeby > Większe nawilżenie & ochrona | Default Category > pielęgnacja skóry > Kategoria > Kosmetyki do opalania | Default Category > pielęgnacja skóry > Methode > Soleil;2026-02-06T00:59:33.688Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/spa-wellness-hair-shampoo?childSku=4040218855999;122,00;Szampon Wellness do codziennego mycia włosów.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Pielęgnacja włosów i głowy > Methode > Spa | Default Category > Pielęgnacja włosów i głowy > Kategoria > Szampon;2026-02-06T00:59:33.688Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/glam-colour-icy-crystal-07-lv-colouring-conditioner;138,00;Zabieg pielęgnacyjny i odświeżający kolor dla rozjaśnionych, farbowanych i naturalnych blond włosów nadający włosom chłodny odcień. Pielęgnacja chroniąca chłodne odcienie i refleksy blondu. Chłodne pigmenty w produktach, wybijają żółty odcień włosów,nadając im chłodne walory. Dodatkowo odżywia włosy,poprawia ich elastyczność i świetlistość. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Pielęgnacja włosów i głowy > Rodzaj > farbowane włosy | Default Category > Pielęgnacja włosów i głowy > Methode > Glam Colour | Default Category > Pielęgnacja włosów i głowy > Potrzeby > Ochrona koloru | Default Category > Pielęgnacja włosów i głowy > Kategoria > Odżywka;2026-02-06T00:59:33.689Z;;150 ml
017339;Automatic Pencil for Eyes K05 Black;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/automatic-pencil-for-eyes?childSku=4040218765298;104,00;Automatyczna wodoodporna kredka do oczu z pędzlem do smużenia i do podkreślenia oczu w kolorze czarnym.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;Y;Home | Default Category > Makijaż > Kolor > czarny | Default Category > Makijaż > Produkty do makijażu > szary / srebrny | Default Category > Makijaż > Kategoria > Oczy;2026-02-06T00:59:33.690Z;Kobieta;0,28 g
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/pencil-for-eyes?childSku=4040218875898;96,00;Automatyczna wodoodporna kredka do oczu z pędzlem do smużenia i do podkreślenia oczu w kolorze espresso.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Makijaż > Kolor > fiolet | Default Category > Makijaż > Produkty do makijażu > Kredka do oczu | Default Category > Makijaż > Kategoria > Oczy;2026-02-06T00:59:33.691Z;;1,06 g
002142;Harmonising Wellness Tea Beutel;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/harmonising-wellness-tea?childSku=4040218879698;12,50;Harmonizująca herbata wellness przywraca ciału wewnętrzną równowagę i harmonię. Jej składniki pochodzą z kontrolowanego rolnictwa ekologicznego i są inspirowane ulubioną kompozycją zapachową z linii pielęgnacji ciała Spa.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg;Y;Home | Default Category > pielęgnacja skóry > Methode > Wellness dla ciała;2026-02-06T00:59:33.691Z;;30 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/hair-beard-body-wash?childSku=4040218802597;56,00;Orzeźwiający żel pod prysznic do ciała, włosów i brody. Naturalne składniki aktywne chronią przed wysuszaniem skóry. Koktajl mineralny rewitalizuje każdą komórkę tlenem. Specjalnie opracowany kompleks Hydro-Protect utrzymuje wilgotność skóry i chroni włosy. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Pielęgnacja włosów i głowy > Rodzaj > normalna skóra głowy | Default Category > Pielęgnacja włosów i głowy > Rodzaj > naturalne włosy | Default Category > Pielęgnacja włosów i głowy > Methode > Homme | Default Category > Pielęgnacja włosów i głowy > Potrzeby > Naprawa & regeneracja | Default Category > Pielęgnacja włosów i głowy > Kategoria > Szampon | Default Category > Pielęgnacja włosów i głowy > Inne > Rozmiary podróżne | Default Category > pielęgnacja skóry > Rodzaj > cera normalna | Default Category > pielęgnacja skóry > Potrzeby > Większe nawilżenie & ochrona | Default Category > pielęgnacja skóry > Kategoria > Pielęgnacja dłoni & ciała | Default Category > pielęgnacja skóry > Methode > Homme | Default Category > pielęgnacja skóry > Inne > Rozmiary podróżne;2026-02-06T00:59:33.691Z;Mężczyzna;75 ml
120931;Hairloss Control Scalp Concentrate;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.pl/hairloss-control-scalp-concentrate;655,00;Koncentrat do skóry głowy ożywia korzenie włosów i wydłuża cykl życia włosów. Wykorzystuje zróżnicowane mechanizmy działania, aby zwalczyć wypadanie włosów, stymulować wzrost włosów i znacząco poprawić jakość oraz gęstość włosów.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;Y;Home | Default Category > Pielęgnacja włosów i głowy > Methode > Méthode Régénérante | Default Category > Pielęgnacja włosów i głowy > Potrzeby > Lepszy wzrost włosów | Default Category > Pielęgnacja włosów i głowy > Potrzeby > Przeciw siwieniu | Default Category > Pielęgnacja włosów i głowy > Kategoria > Ampułka na skórę głowy;2026-02-06T00:59:33.692Z;;100 ml
