id,gtin,title,brand,link,price,description,image_link,availability,quantity_to_sell_on_facebook,fb_product_category,google_product_category,currency,custom_label_0,custom_label_1,custom_label_2,custom_label_3,size,gender,condition,shipping
016399,4040218791099,Eyeshadow Pen Smoky Topaz,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/eyeshadow-pen?childSku=4040218791099,26.00 CHF,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",female,new,CH:::0.00 CHF
016301,4040218829099,Eyeshadow Pen Cloudy Lilac,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/eyeshadow-pen?childSku=4040218829099,26.00 CHF,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",female,new,CH:::0.00 CHF
002396,4040218846799,Sun Care Body Lotion SPF 50,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/sun-care-body-lotion-spf-50,57.00 CHF,"<p>Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Gesichtshaut und den ganzen Körper vor sonnenbedingter Schädigung.</p>",https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Soleil,,,200 ml,unisex,new,CH:::0.00 CHF
120725,4040218855999,Spa Wellness Hair Shampoo,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/spa-wellness-hair-shampoo?childSku=4040218855999,27.00 CHF,Wellness-Shampoo für die tägliche Haarwäsche,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Haarpflege,Spa,,,250 ml,unisex,new,CH:::0.00 CHF
120107,4040218871999,Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/glam-colour-icy-crystal-07-lv-colouring-conditioner,33.50 CHF,"Der pflegende, restrukturierende Farbconditioner mit Farbschutz und UV-Glanz-Komplex neutralisiert den Gelbstich und frischt den eisig kühlen Kristallreflex in blondiertem, coloriertem und naturblondem Haar auf.",https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Haarpflege,Glam Colour,,,150 ml,unisex,new,CH:::0.00 CHF
019055,4040218888799,Automatic Pencil for Lips LL32 Rosewood,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/automatic-pencil-for-lips?childSku=4040218888799,28.00 CHF,"Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.",https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"0,35 g",unisex,new,CH:::0.00 CHF
020607,4040218789898,Brilliant Nail Top Coat,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/brilliant-nail-top-coat,21.00 CHF,"Glänzendes, schützendes und langanhaltendes Finish in einem: Brilliant Nail Top Coat wird als Überlack aufgetragen und verlängert die Haltbarkeit von Farblacken",https://image.labiosthetique.com/i/square-1440/m2-product:brilliant_nail_top_coat_247759_9ml_d91b577.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,9 ml,female,new,CH:::0.00 CHF
017524,4040218875898,Pencil for Eyes Violet Silk,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/pencil-for-eyes?childSku=4040218875898,25.50 CHF,Der herrlich sanfte Kajal lässt sich durch seine einzigartig geschmeidige Textur hochpräzise auftragen und verleiht den Augen eine natürlich wache Ausstrahlungskraft.,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,06 g",unisex,new,CH:::0.00 CHF
002142,4040218879698,Harmonising Wellness Tea Beutel,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/harmonising-wellness-tea?childSku=4040218879698,13.00 CHF,Der harmonisierende Wellness Tee bringt den Körper von innen in wohltuende Balance. Seine Zutaten aus kontrolliert biologischem Anbau sind von der beliebten Duftkomposition der Spa Körperpflege inspiriert.,https://image.labiosthetique.com/i/square-1440/m2-product:harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Spa & Wellnesskörperpflege,,,30 g,unisex,new,CH:::0.00 CHF
003737,4040218868197,Comforting Hydro Toner,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/comforting-hydro-toner?childSku=4040218868197,7.50 CHF,"Das wohltuende Gesichtswasser lindert die Symptome einer empfindlichen, gereizten Haut, versorgt sie mit reicher Feuchtigkeit und bereitet sie optimal auf die nachfolgenden Pflegeschritte vor. Für alle Liebhaber von Visalix Sensitif wird dies Ihr neues Lieblingsprodukt.",https://image.labiosthetique.com/i/square-1440/m2-product:comforting_hydro_toner_392037_50ml_8643769.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Méthode Sensitive,,,50 ml,unisex,new,CH:::0.00 CHF
002739,4040218882797,Clarifying Spot Gel,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/clarifying-spot-gel,28.50 CHF,Klärendes Hydrogel zur gezielten und effektiven Behandlung der betroffenen Hautstellen bei Mitessern und Pickeln. Für alle Liebhaber von Likopan Gel wird dies Ihr neues Lieblingsprodukt.,https://image.labiosthetique.com/i/square-1440/m2-product:clarifying_spot_gel_396279_15ml_66db2a2.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Méthode Clarifiante,,,15 ml,unisex,new,CH:::0.00 CHF
021278,4040218876796,Liquid Glam,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/liquid-glam,39.50 CHF,"Das transparente und vielseitig einsetzbare Glittergel zaubert funkelnde Highlights auf die Haut und setzt Augen, Wangenknochen, Lippen oder Dekolleté in Szene.",https://image.labiosthetique.com/i/square-1440/m2-product:liquid_glam_388847_4ml_0f1203c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,4 ml,unisex,new,CH:::0.00 CHF
002628,4040218848595,Sun Care Stick SPF 50+,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/sun-care-stick-spf-50,27.50 CHF,Cremestick mit UVA und UVB Filter,https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_stick_spf_50_248079_8g_405648b.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Soleil,,,8 g,unisex,new,CH:::0.00 CHF
123212,4040218849295,Colour Protection Structure Restoring Treatment,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/colour-protection-structure-restoring-treatment,81.00 CHF,"In zwei Phasen repariert und regeneriert die Intensivhaarpflege die innere und äußere Struktur chemisch beanspruchter Haare, stärkt das Haar, bewahrt vor Haarbruch und schützt das Haar vor negativen Umwelteinflüssen sowie frühzeitigem Farbverlust.",https://image.labiosthetique.com/i/square-1440/m2-product:colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Haarpflege,Colour Protection,,,1 set,unisex,new,CH:::0.00 CHF
002241,4040218863895,After Sun Soothing Hydro Spray,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/de/after-sun-soothing-hydro-spray,22.00 CHF,Das erfrischende Hydro Spray beruhigt und entspannt sonnengestresste Haut sofort und spendet wertvolle Feuchtigkeit.,https://image.labiosthetique.com/i/square-1440/m2-product:after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Soleil,,,100 ml,unisex,new,CH:::0.00 CHF
